circuito,escuela,mesa,nombre,votos,perc,percAbs
00668,ESCUELA EP N°5,0213400054X,CELESTE Y BLANCA - 2,81.0,57.04,34.03
00668,ESCUELA EP N°5,0213400054X,CELESTE Y BLANCA - 1,61.0,42.95,25.63
00668,ESCUELA EP N°5,0213400055X,CELESTE Y BLANCA - 2,57.0,58.76,25.33
00668,ESCUELA EP N°5,0213400055X,CELESTE Y BLANCA - 1,40.0,41.23,17.77
00668,ESCUELA EP N°10,0213400056X,CELESTE Y BLANCA - 1,52.0,51.48,23.21
00668,ESCUELA EP N°10,0213400056X,CELESTE Y BLANCA - 2,49.0,48.51,21.87
00668,ESCUELA EP N°10,0213400057X,CELESTE Y BLANCA - 2,54.0,51.42,22.97
00668,ESCUELA EP N°10,0213400057X,CELESTE Y BLANCA - 1,51.0,48.57,21.7
00668,ESCUELA EP N°10,0213400058X,CELESTE Y BLANCA - 1,65.0,54.62,27.89
00668,ESCUELA EP N°10,0213400058X,CELESTE Y BLANCA - 2,54.0,45.37,23.17
00668,ESCUELA EP N°10,0213400059X,CELESTE Y BLANCA - 2,47.0,52.22,19.58
00668,ESCUELA EP N°10,0213400059X,CELESTE Y BLANCA - 1,43.0,47.77,17.91
00668,ESCUELA EP N°10,0213400060X,CELESTE Y BLANCA - 1,63.0,52.5,27.63
00668,ESCUELA EP N°10,0213400060X,CELESTE Y BLANCA - 2,57.0,47.5,25.0
00668,ESCUELA EP N°10,0213400061X,CELESTE Y BLANCA - 1,74.0,61.15,31.75
00668,ESCUELA EP N°10,0213400061X,CELESTE Y BLANCA - 2,47.0,38.84,20.17
00668,ESCUELA EP N°8/ES N°18,0213400062X,CELESTE Y BLANCA - 1,60.0,54.05,26.43
00668,ESCUELA EP N°8/ES N°18,0213400062X,CELESTE Y BLANCA - 2,51.0,45.94,22.46
00668,ESCUELA EP N°8/ES N°18,0213400063X,CELESTE Y BLANCA - 2,61.0,52.58,25.52
00668,ESCUELA EP N°8/ES N°18,0213400063X,CELESTE Y BLANCA - 1,55.0,47.41,23.01
00668,ESCUELA EP N°8/ES N°18,0213400064X,CELESTE Y BLANCA - 2,51.0,50.49,20.0
00668,ESCUELA EP N°8/ES N°18,0213400064X,CELESTE Y BLANCA - 1,50.0,49.5,19.6
00668,ESCUELA EP N°8/ES N°18,0213400065X,CELESTE Y BLANCA - 2,56.0,54.36,24.24
00668,ESCUELA EP N°8/ES N°18,0213400065X,CELESTE Y BLANCA - 1,47.0,45.63,20.34
00668,ESCUELA EP N°8/ES N°18,0213400066X,CELESTE Y BLANCA - 2,61.0,50.83,26.75
00668,ESCUELA EP N°8/ES N°18,0213400066X,CELESTE Y BLANCA - 1,59.0,49.16,25.87
00668,ESCUELA EP N°8/ES N°18,0213400067X,CELESTE Y BLANCA - 1,48.0,53.33,22.22
00668,ESCUELA EP N°8/ES N°18,0213400067X,CELESTE Y BLANCA - 2,42.0,46.66,19.44
00668,ESCUELA EP N°8/ES N°18,0213400068X,CELESTE Y BLANCA - 1,61.0,54.46,29.04
00668,ESCUELA EP N°8/ES N°18,0213400068X,CELESTE Y BLANCA - 2,51.0,45.53,24.28
00668,ESCUELA EP N°8/ES N°18,0213400069X,CELESTE Y BLANCA - 2,65.0,52.41,28.01
00668,ESCUELA EP N°8/ES N°18,0213400069X,CELESTE Y BLANCA - 1,59.0,47.58,25.43
00668,ESCUELA EP N°8/ES N°18,0213400070X,CELESTE Y BLANCA - 1,67.0,58.26,30.59
00668,ESCUELA EP N°8/ES N°18,0213400070X,CELESTE Y BLANCA - 2,48.0,41.73,21.91
00668,ESCUELA EP N°17/ES N°15,0213400071X,CELESTE Y BLANCA - 2,0.0,0.0,0.0
00668,ESCUELA EP N°17/ES N°15,0213400071X,CELESTE Y BLANCA - 1,0.0,0.0,0.0
00668,ESCUELA EP N°17/ES N°15,0213400072X,CELESTE Y BLANCA - 1,83.0,50.3,29.85
00668,ESCUELA EP N°17/ES N°15,0213400072X,CELESTE Y BLANCA - 2,82.0,49.69,29.49
00668,ESCUELA EP N°17/ES N°15,0213400073X,CELESTE Y BLANCA - 2,62.0,100.0,30.69
00668,ESCUELA EP N°17/ES N°15,0213400073X,CELESTE Y BLANCA - 1,0.0,0.0,0.0
00668,ESCUELA EP N°17/ES N°15,0213400074X,CELESTE Y BLANCA - 1,56.0,51.37,24.45
00668,ESCUELA EP N°17/ES N°15,0213400074X,CELESTE Y BLANCA - 2,53.0,48.62,23.14
